file,label,peak_freq,avg_amp,std_amp
flow_off_test10.csv,0,35.27696793002915,110.09137659963653,95.30260714244943
flow_off_test3.csv,0,35.227272727272734,105.26408515514154,94.66934713301373
flow_off_test4.csv,0,35.474006116207946,88.06182949921829,82.23497894831112
flow_off_test5.csv,0,35.15151515151515,107.85953188120898,96.4846826647371
flow_off_test6.csv,0,35.12014787430684,143.10952473317195,126.81289286263662
flow_off_test7.csv,0,35.18072289156626,121.2932314048075,99.844119470794
flow_off_test8.csv,0,35.19553072625698,101.84764218852659,87.8188435292652
flow_off_test9.csv,0,35.27777777777778,102.89615759350363,98.39322166378153
flow_on_test10.csv,1,0.721153846153846,235.65957971662996,150.51302164184426
flow_on_test3.csv,1,35.231895850284786,209.73110406855795,223.52020868500495
flow_on_test4.csv,1,34.58646616541353,351.19741480460044,185.99503989539244
flow_on_test5.csv,1,0.273972602739726,324.77154201918285,229.15108311644522
flow_on_test6.csv,1,35.35620052770449,238.9645032648487,143.55490904476213
flow_on_test7.csv,1,0.24752475247524752,294.2649802902269,208.01502645363874
flow_on_test8.csv,1,35.25179856115108,221.06473617748068,140.87835459826783
flow_on_test9.csv,1,35.44668587896253,263.66101657932734,155.16187526390837
